seq_no,F1,F2,F3,F4,F5,F6,Class
299,0,0,1,0,0,0,1
300,0,0,0,0,0,1,0
301,2,1,0,1,0,0,0
302,2,1,0,1,0,0,0
303,0,0,0,1,0,1,0
304,0,0,0,0,0,2,0
305,0,0,1,0,0,1,0
306,0,1,0,1,2,3,0
307,0,0,0,0,1,1,1
308,0,0,1,0,0,1,0
309,0,1,0,0,0,0,0
310,0,0,1,0,0,1,0
311,0,0,0,0,0,1,0
312,1,0,1,1,2,0,1
313,0,0,0,0,0,0,1
314,0,0,1,0,0,0,0
315,0,0,0,0,0,1,0
316,0,0,0,0,0,1,1
317,1,1,0,0,0,1,1
318,0,0,2,0,0,1,0
319,0,1,0,0,1,0,0
320,0,0,1,2,1,1,0
321,0,1,0,0,0,0,1
322,0,0,0,0,1,0,1
323,3,0,1,1,3,2,0
324,2,0,0,1,1,1,0
325,0,2,1,1,1,0,0
326,0,0,0,2,1,0,0
327,0,0,0,2,1,1,0
328,0,2,0,1,0,0,0
329,0,0,0,0,0,1,1
330,2,1,2,0,2,1,0
332,0,0,0,0,0,1,1
334,0,0,0,3,0,0,0
335,0,0,0,0,0,1,1
336,1,0,0,0,0,1,0
337,0,2,1,1,1,0,1
338,0,0,0,0,0,2,0
339,0,0,0,0,1,0,0
340,1,0,2,5,0,3,1
341,0,0,0,0,0,1,1
342,1,3,1,6,3,0,1
343,1,0,0,1,0,4,0
344,0,0,1,0,0,1,0
345,1,0,0,1,0,0,0
346,0,0,0,0,0,1,0
347,0,0,0,0,1,0,0
348,0,0,0,0,0,0,0
349,2,0,1,2,3,1,0
350,0,2,0,0,1,1,0
351,1,1,0,1,2,3,0
352,0,0,1,1,0,0,0
353,0,0,0,2,1,1,0
354,0,1,0,1,1,0,0
355,1,0,1,0,2,0,0
356,1,0,0,0,1,0,0
357,0,0,1,0,0,1,0
358,2,0,0,1,0,0,0
359,0,0,0,1,0,2,1
360,0,1,0,0,0,0,0
361,1,0,1,4,2,0,0
362,0,0,0,0,0,1,1
363,0,0,0,1,0,0,0
364,0,0,1,0,0,0,0
365,0,0,0,0,0,1,0
366,0,0,1,0,0,1,1
367,0,0,0,0,1,0,1
368,1,0,0,0,0,1,1
369,0,0,0,0,1,0,0
370,1,0,0,0,0,1,1
371,0,1,1,1,3,0,1
372,0,0,1,0,0,1,0
373,0,0,0,0,0,2,1
375,0,0,0,0,1,0,0
377,0,0,0,0,0,2,1
378,0,0,0,0,1,0,0
379,3,0,0,0,3,2,1
380,3,0,0,0,1,2,1
381,0,0,0,0,1,1,0
382,0,0,1,0,0,1,0
383,0,0,0,0,0,0,1
384,1,1,0,0,0,1,0
385,0,1,1,1,1,0,1
386,1,0,1,2,1,1,0
387,0,1,0,1,1,0,0
388,0,0,0,0,0,0,1
389,0,0,0,2,0,0,0
390,0,0,1,0,0,0,1
391,0,0,1,0,1,1,0
392,1,0,0,1,2,1,0
393,0,0,1,0,0,1,0
394,3,0,0,2,0,0,0
395,0,2,1,1,1,0,0
396,0,0,3,1,0,1,0
397,1,0,2,0,1,0,0
399,0,0,0,0,0,1,0
401,1,0,0,0,2,0,0
402,1,0,0,1,0,1,0
403,0,0,0,0,0,2,1
404,1,1,1,1,0,2,1
406,1,0,0,1,0,0,0
407,2,2,0,0,1,4,1
408,0,0,0,3,0,1,1
409,0,0,0,0,0,0,1
410,2,0,0,1,1,2,0
411,1,0,0,1,0,1,0
412,1,1,1,0,0,0,0
413,0,0,1,1,1,0,0
415,0,1,0,0,0,0,0
416,0,0,0,0,0,2,1
417,1,0,0,0,0,1,0
418,0,0,0,0,1,1,0
419,0,1,0,0,1,0,0
420,0,0,0,0,0,1,1
421,1,0,1,0,2,0,0
422,0,0,0,0,1,0,0
423,0,2,1,0,1,0,1
424,1,2,1,5,0,1,0
425,0,0,0,0,1,1,1
426,3,0,1,1,3,2,1
427,0,0,0,0,1,0,0
428,1,0,0,0,0,1,1
429,0,0,0,1,0,1,0
430,1,0,0,0,1,1,1
431,0,0,0,0,0,1,1
432,0,0,0,0,0,0,0
433,1,1,2,3,0,1,0
434,0,0,0,0,0,1,0
435,1,0,1,1,2,0,0
436,1,0,0,1,0,0,0
437,0,0,0,0,1,0,0
438,0,2,1,1,1,0,1
439,0,0,0,0,0,1,0
440,0,0,0,0,0,1,0
441,0,0,0,1,0,0,0
442,0,0,0,0,0,1,1
443,1,0,0,1,0,0,0
444,0,1,0,1,0,0,0
445,1,0,0,0,1,2,0
446,0,0,0,0,0,1,0
447,0,2,1,1,1,0,1
448,1,0,0,0,0,0,1
449,0,2,0,2,1,0,1
450,0,0,0,0,0,0,1
451,0,0,1,0,0,1,1
452,0,0,0,0,0,0,0
454,0,0,1,1,1,1,0
455,1,0,3,0,0,1,0
456,0,0,1,0,0,1,0
457,0,0,0,0,0,0,1
458,0,0,1,0,0,0,0
459,0,0,0,0,1,2,1
460,1,0,0,0,0,1,0
461,0,0,0,1,0,0,1
462,0,0,1,0,0,1,0
463,2,1,0,0,1,0,0
464,2,0,1,0,0,0,0
465,2,0,0,1,1,2,0
466,0,0,0,1,0,0,0
467,0,0,0,0,0,1,0
468,1,0,0,1,0,0,0
469,1,0,0,1,0,0,0
470,0,0,0,0,0,1,0
471,0,0,1,0,0,1,0
472,0,1,0,2,1,2,0
473,1,2,1,2,1,0,1
475,0,0,1,0,0,1,0
476,0,0,0,1,2,5,1
477,0,0,0,0,0,2,1
478,0,1,0,0,1,0,0
479,1,0,0,3,0,3,1
480,2,0,1,2,0,1,1
482,1,0,2,5,0,3,1
483,0,0,1,0,0,1,1
484,0,0,0,0,0,0,1
485,1,0,0,1,0,1,0
486,3,0,1,1,3,2,0
487,1,1,0,0,0,0,0
488,0,0,0,0,0,1,1
489,1,1,0,1,0,1,0
490,1,0,1,0,0,0,1
491,0,0,1,0,0,1,0
492,0,0,0,0,0,1,1
493,0,0,0,0,0,0,1
494,1,0,0,2,2,3,1
495,0,0,0,0,0,0,1
496,0,0,0,0,0,1,1
497,0,2,1,1,1,0,0
498,0,0,1,0,1,1,0
499,2,1,0,1,0,0,0
500,0,0,0,0,0,1,1
501,1,0,1,4,2,0,0
502,0,0,1,0,0,1,0
503,0,0,1,0,0,0,1
504,1,3,1,3,2,0,1
505,0,0,0,0,0,0,1
506,0,0,0,1,0,2,1
507,0,0,0,0,0,0,1
508,1,0,1,2,1,1,0
509,0,0,0,0,0,0,0
510,1,1,1,0,0,0,0
511,0,0,0,0,1,0,0
512,0,0,1,0,0,1,0
513,2,0,0,0,0,0,0
514,0,0,1,0,0,0,1
515,0,0,0,1,0,1,1
516,1,0,0,2,0,5,0
517,0,0,0,0,0,1,0
518,1,1,1,0,0,1,0
519,0,0,0,0,0,0,1
520,0,0,1,0,0,1,1
521,2,0,0,0,0,0,0
522,0,2,1,1,1,0,0
523,0,0,0,0,1,1,0
524,0,0,0,2,1,1,0
525,0,1,0,0,2,0,0
526,0,0,0,1,1,0,1
527,2,0,0,1,0,0,0
528,0,0,1,0,0,1,0
529,0,1,0,1,0,0,0
530,0,0,0,0,0,1,1
531,0,0,0,0,0,0,1
532,0,0,0,0,1,0,0
533,0,0,0,0,0,1,1
534,0,0,0,0,0,0,0
535,0,1,1,1,3,0,0
536,0,1,0,0,0,1,0
537,0,0,1,0,0,0,0
538,1,0,0,0,0,0,1
539,0,0,0,0,0,1,0
540,0,0,0,0,2,0,0
541,0,0,0,0,0,1,1
542,0,0,1,1,0,0,1
543,0,0,0,0,0,0,0
544,0,0,2,1,0,0,0
545,2,0,1,2,3,1,0
546,0,0,0,0,0,1,1
547,0,0,1,0,0,0,0
548,0,0,0,1,0,1,0
549,0,1,0,0,0,1,0
550,0,0,0,0,0,2,1
551,3,0,0,2,0,0,0
552,0,0,0,0,0,0,1
553,0,0,0,0,1,0,0
554,0,0,0,0,0,3,0
555,0,0,0,0,0,0,0
556,0,0,0,0,0,1,1
557,0,0,0,2,1,1,0
558,2,0,0,1,1,0,0
559,0,1,0,1,1,0,0
560,0,0,0,0,1,0,1
561,0,0,1,0,0,1,0
562,0,0,0,0,0,1,0
563,0,0,0,1,0,1,0
564,0,1,0,1,0,0,0
565,0,0,1,0,0,1,1
566,0,0,0,0,0,0,0
567,1,1,2,2,0,1,1
568,0,0,1,0,0,1,0
569,1,0,0,1,0,0,0
570,1,0,0,0,0,1,1
571,0,0,0,0,0,1,0
572,0,2,1,1,0,0,1
573,0,1,1,1,0,1,0
574,0,0,0,0,0,1,1
575,0,0,0,0,0,1,0
576,0,0,0,0,1,0,1
577,0,0,1,0,0,0,0
579,0,0,1,1,1,1,0
580,0,0,0,0,0,0,0
581,2,1,1,4,3,1,0
582,0,0,0,0,0,1,1
583,1,0,1,1,4,2,0
584,0,0,0,0,0,1,1
585,0,0,0,0,1,0,1
586,0,0,0,1,2,1,0
587,0,0,0,0,1,0,1
588,0,0,0,0,0,1,0
589,0,0,0,0,0,1,1
590,1,1,0,0,0,1,0
591,0,0,0,0,0,0,0
592,0,1,0,0,0,0,0
593,0,0,0,0,0,1,1
594,0,0,0,0,1,0,0
595,0,0,2,2,1,0,0
596,0,2,1,0,1,0,1
597,1,0,0,3,3,2,1
598,0,0,0,0,0,1,1
599,0,0,0,2,1,0,0
600,0,0,0,0,0,0,1
601,0,2,1,1,1,0,1
602,0,0,0,0,0,1,0
603,0,0,0,0,1,3,1
604,0,0,0,0,0,1,1
605,0,0,1,1,2,1,0
606,1,2,1,2,1,0,1
607,0,0,1,0,0,1,1
608,2,0,0,1,0,0,0
609,1,0,1,1,2,0,1
610,0,0,0,4,0,0,0
611,0,0,1,1,0,3,0
612,0,0,0,0,0,1,0
613,1,1,1,4,0,3,1
614,0,0,0,0,0,1,1
615,1,1,2,3,1,0,1
616,1,0,1,0,0,0,0
617,0,0,1,0,0,0,0
618,0,0,0,1,0,1,0
619,0,0,0,0,0,1,0
620,0,0,0,0,0,1,0
621,0,1,0,0,0,0,0
622,0,0,0,0,0,1,0
623,0,0,0,0,1,0,0
624,0,0,0,0,0,1,0
625,0,0,1,0,0,0,0
626,0,0,0,1,1,3,0
627,0,0,0,0,1,0,0
628,0,1,1,1,0,0,1
629,0,0,1,0,0,0,1
630,0,2,0,1,0,0,0
631,2,1,4,0,0,0,0
632,0,1,0,0,0,0,1
633,0,0,1,0,0,1,1
634,0,0,0,1,0,0,1
635,3,1,0,1,0,0,0
636,1,0,1,3,0,3,1
637,0,0,0,0,1,0,0
638,0,0,0,0,0,0,1
639,1,0,1,3,0,3,1
640,2,0,0,1,1,1,0
641,0,1,0,0,0,0,0
642,0,0,0,0,0,1,1
643,0,1,2,0,1,0,0
644,0,0,0,0,0,1,0
645,0,1,1,1,1,0,1
646,3,1,0,2,1,0,1
647,0,1,0,0,1,0,0
648,1,1,0,1,0,1,0
649,1,0,2,1,0,0,1
650,0,0,0,0,0,0,0
652,0,0,0,0,0,2,0
653,1,0,0,0,0,0,1
654,0,0,1,2,1,1,0
655,0,0,0,2,1,1,0
656,0,0,0,0,1,1,0
657,1,1,0,1,0,0,1
658,0,0,0,0,0,1,1
659,1,0,1,3,0,2,1
660,3,0,0,0,3,2,1
661,0,0,1,1,1,1,0
662,0,0,0,0,1,0,1
663,0,1,0,1,2,3,0
664,1,0,0,2,1,0,0
665,2,1,1,4,3,1,0
666,0,0,1,0,0,0,0
667,0,0,0,0,0,1,0
668,0,1,1,1,0,5,0
669,0,0,0,0,1,1,1
670,0,0,0,0,0,1,1
671,0,2,1,0,1,0,1
672,1,0,0,1,1,0,0
673,2,0,0,1,0,2,0
674,0,0,0,0,0,1,0
675,0,1,2,0,0,1,0
676,0,0,1,0,0,1,0
677,0,0,0,0,1,0,0
678,3,0,0,0,1,2,1
679,0,0,0,0,0,2,0
680,0,0,0,0,0,0,0
681,0,0,0,0,0,1,1
682,0,0,0,0,0,2,0
683,0,0,0,3,1,0,1
684,1,0,0,1,2,1,0
685,1,0,0,1,1,0,0
686,0,0,0,0,1,1,0
687,1,3,1,6,3,0,1
688,1,1,0,1,1,2,0
689,0,0,0,0,1,0,0
690,0,0,2,0,0,1,0
691,0,0,0,0,0,1,0
692,1,1,2,0,0,0,0
693,0,1,1,2,2,0,1
694,0,0,3,1,0,1,0
695,1,0,1,2,0,0,1
696,0,0,1,0,0,1,0
697,0,1,0,0,0,0,0
698,0,0,0,0,0,1,1
699,2,1,0,0,1,0,0
700,0,2,1,1,1,0,1
701,0,1,0,1,1,0,0
702,2,1,1,0,0,0,0
703,1,1,1,0,0,0,0
704,0,1,0,0,1,0,0
705,0,0,0,1,0,1,0
706,1,0,0,1,0,0,0
707,0,0,0,1,0,0,0
708,0,0,0,2,0,0,0
709,0,0,0,0,0,1,0
710,0,0,1,0,0,1,0
711,1,1,0,0,1,0,0
712,0,0,0,0,0,1,1
713,0,0,0,1,1,0,1
714,1,0,1,1,0,0,0
715,0,0,0,1,1,0,0
716,0,0,2,1,1,1,0
717,0,0,1,1,0,0,0
718,0,0,0,0,0,1,1
719,0,1,1,1,3,0,1
720,1,1,0,0,3,0,0
721,0,0,1,0,0,1,1
722,0,0,0,0,0,2,0
723,0,2,1,1,1,0,1
724,1,0,0,1,0,1,0
725,0,0,0,2,1,1,0
727,2,0,0,0,1,0,0
728,0,0,1,0,0,1,0
729,0,1,2,1,1,1,1
730,1,1,0,1,2,0,0
731,1,0,1,3,2,0,0
732,0,0,0,0,1,0,1
733,0,0,0,0,0,0,0
734,1,0,0,4,1,2,0
735,0,0,0,3,0,0,0
736,0,0,0,0,0,1,1
737,1,1,0,0,1,1,1
738,0,0,0,2,0,0,0
739,1,1,0,0,0,1,0
740,1,1,0,1,0,0,0
741,0,0,0,0,0,2,0
742,2,1,2,0,2,1,0
743,0,0,0,0,0,1,1
744,2,1,2,0,2,0,1
745,0,0,0,0,0,0,0
746,1,1,0,0,0,1,1
747,0,0,0,0,2,0,0
748,0,2,0,1,1,0,1
749,2,0,1,2,0,0,1
750,0,0,1,0,0,1,0
751,0,0,0,0,0,1,0
752,0,0,0,0,0,1,0
753,0,0,1,0,1,0,0
754,0,0,0,3,1,0,0
755,1,0,0,1,0,2,1
756,3,1,1,0,1,0,0
757,0,0,0,2,0,0,0
758,1,0,0,1,0,2,1
759,0,0,0,0,1,1,0
760,1,0,0,0,1,0,0
761,0,0,1,0,2,0,0
762,0,0,2,0,0,1,0
763,2,1,2,1,0,0,0
764,0,0,1,0,0,1,0
765,0,0,0,0,0,1,1
766,1,0,1,1,0,1,0
767,0,0,0,0,1,1,0
768,0,0,0,0,0,1,1
769,0,0,0,0,2,0,1
770,0,0,1,1,0,0,0
771,0,0,0,0,0,2,0
772,2,0,1,2,0,3,1
773,0,0,0,4,1,0,0
774,0,1,1,0,0,0,0
775,0,0,0,1,2,3,1
776,0,0,0,1,1,0,0
777,0,0,1,0,0,1,0
778,0,0,1,0,0,1,0
779,0,1,0,1,0,0,0
780,1,0,0,0,1,0,0
781,1,1,0,1,2,3,0
782,0,0,0,2,0,1,0
783,0,0,0,0,1,0,0
784,1,0,2,0,1,0,0
786,0,0,1,0,0,1,0
787,0,0,0,1,1,1,0
788,0,0,0,0,0,1,0
789,1,1,0,1,0,0,0
790,0,1,0,2,0,0,0
791,1,1,1,0,0,3,0
792,1,2,0,5,0,1,0
793,0,0,0,1,0,1,0
794,0,0,0,0,0,1,0
795,1,0,1,0,0,0,0
796,0,0,0,1,2,0,0
797,1,0,0,1,0,0,0
798,1,0,0,1,0,0,1
799,1,0,0,0,0,1,1
800,0,0,0,0,2,0,0
801,1,0,0,0,0,1,1
802,0,0,0,0,0,2,0
803,2,1,0,1,0,0,0
804,1,0,0,2,1,1,0
805,0,0,0,0,0,0,1
806,0,0,0,0,0,0,1
807,0,0,0,1,0,2,1
808,0,0,0,0,0,1,0
809,1,2,1,3,2,0,1
810,0,0,0,0,1,0,0
811,0,1,1,0,0,0,0
812,0,1,1,2,0,1,0
813,0,0,0,3,0,0,0
814,0,0,0,0,0,1,0
815,0,1,1,1,1,0,1
816,0,2,2,3,2,0,1
817,0,2,0,0,1,1,0
818,1,0,0,1,0,0,0
819,0,1,0,1,0,0,0
820,3,0,1,0,1,0,0
821,0,0,1,0,0,1,1
822,0,0,0,0,0,1,1
823,1,0,0,1,0,4,0
824,0,0,0,0,1,1,0
