seq_no,F1,F2,F3,F4,F5,F6,Class
295,0,0,1,0,0,0,1
296,0,0,0,0,0,1,0
297,2,1,0,1,0,0,0
298,2,1,0,1,0,0,0
299,0,0,0,1,0,1,0
300,0,0,0,0,0,2,0
301,0,0,1,0,0,1,0
302,0,1,0,1,2,3,0
303,0,0,0,0,1,1,1
304,0,0,1,0,0,1,0
305,0,1,0,0,0,0,0
306,0,0,1,0,0,1,0
307,0,0,0,0,0,1,0
308,1,0,1,1,2,0,1
309,0,0,0,0,0,0,1
310,0,0,1,0,0,0,0
311,0,0,0,0,0,1,0
312,0,0,0,0,0,1,1
313,1,1,0,0,0,1,1
314,0,0,2,0,0,1,0
315,0,1,0,0,1,0,0
316,0,0,1,2,1,1,0
317,0,1,0,0,0,0,1
318,0,0,0,0,1,0,1
319,3,0,1,1,3,2,0
320,2,0,0,1,1,1,0
321,0,2,1,1,1,0,0
322,0,0,0,2,1,0,0
323,0,0,0,2,1,1,0
324,0,2,0,1,0,0,0
325,0,0,0,0,0,1,1
326,2,1,2,0,2,1,0
327,0,0,0,0,0,1,1
328,0,0,0,3,0,0,0
329,0,0,0,0,0,1,1
330,1,0,0,0,0,1,0
331,0,2,1,1,1,0,1
332,0,0,0,0,0,2,0
333,0,0,0,0,1,0,0
334,1,0,2,5,0,3,1
335,0,0,0,0,0,1,1
336,1,3,1,6,3,0,1
337,1,0,0,1,0,4,0
338,0,0,1,0,0,1,0
339,1,0,0,1,0,0,0
340,0,0,0,0,0,1,0
341,0,0,0,0,1,0,0
342,0,0,0,0,0,0,0
343,2,0,1,2,3,1,0
344,0,2,0,0,1,1,0
345,1,1,0,1,2,3,0
346,0,0,1,1,0,0,0
347,0,0,0,2,1,1,0
348,0,1,0,1,1,0,0
349,1,0,1,0,2,0,0
350,1,0,0,0,1,0,0
351,0,0,1,0,0,1,0
352,2,0,0,1,0,0,0
353,0,0,0,1,0,2,1
354,0,1,0,0,0,0,0
355,1,0,1,4,2,0,0
356,0,0,0,0,0,1,1
357,0,0,0,1,0,0,0
358,0,0,1,0,0,0,0
359,0,0,0,0,0,1,0
360,0,0,1,0,0,1,1
361,0,0,0,0,1,0,1
362,1,0,0,0,0,1,1
363,0,0,0,0,1,0,0
364,1,0,0,0,0,1,1
365,0,1,1,1,3,0,1
366,0,0,1,0,0,1,0
367,0,0,0,0,0,2,1
368,0,0,0,0,1,0,0
369,0,0,0,0,0,2,1
370,0,0,0,0,1,0,0
371,3,0,0,0,3,2,1
372,3,0,0,0,1,2,1
373,0,0,0,0,1,1,0
374,0,0,1,0,0,1,0
375,0,0,0,0,0,0,1
376,1,1,0,0,0,1,0
377,0,1,1,1,1,0,1
378,1,0,1,2,1,1,0
379,0,1,0,1,1,0,0
380,0,0,0,0,0,0,1
381,0,0,0,2,0,0,0
382,0,0,1,0,0,0,1
383,0,0,1,0,1,1,0
384,1,0,0,1,2,1,0
385,0,0,1,0,0,1,0
386,3,0,0,2,0,0,0
387,0,2,1,1,1,0,0
388,0,0,3,1,0,1,0
389,1,0,2,0,1,0,0
390,0,0,0,0,0,1,0
